[c],name,start,stop,
csiro:A000217,Advisory Council of Science and Industry,16/03/1916,14/09/1920,
csiro:A000294,Aeronautical and Maritime Research Laboratory,1/07/1994,31/12/2002,
csiro:A000309,Aeronautical Research Laboratories,1/01/1949,31/03/1994,
csiro:A000748,Atomic Energy Policy Committee,1/04/1952,30/11/1952,
csiro:A002115,Australia Telescope National Facility - CSIRO,1/01/1988,31/12/2003,
csiro:A000749,Australian Atomic Energy Commission,27/11/1952,31/03/1981,
csiro:A000400,Australian Atomic Energy Commission  Research Establishment,18/04/1958,30/09/1981,
csiro:A000610,Australian Atomic Energy Commission Research Laboratories,20/09/1981,27/04/1987,
csiro:A000159,Australian National Animal Health Laboratory (ANAHL) - CSIRO,1/01/1970,31/10/1985,
csiro:A000416,Australian Objective Measurement Project (AOMP) - CSIRO,1/01/1970,31/12/1971,
csiro:A000519,Baas Becking Geobiological Laboratory,1/01/1968,31/12/1985,
csiro:A000774,Commonwealth Citrus Research Station,4/09/1924,31/12/1927,
csiro:A000585,Commonwealth Forestry Bureau,11/04/1927,1/04/1946,
csiro:A000218,Commonwealth Institute of Science and Industry,14/09/1920,21/06/1926,
csiro:A000792,"Commonwealth Research Station,  Murray Irrigation Area - CSIRO",1/01/1927,30/11/1962,
csiro:A002112,"Commonwealth Research Station,  Murrumbidgee Irrigation Area",1/01/1927,31/12/1939,
csiro:A000195,Council for Scientific and Industrial Research (CSIR),21/06/1926,19/05/1949,
csiro:A000739,CSIR Animal Nutrition Laboratory,1/01/1936,31/12/1944,
csiro:A000589,CSIR Biochemistry Unit,1/01/1949,31/12/1958,
csiro:A000775,CSIR Biometrics Section,1/01/1941,31/12/1944,
csiro:A000796,CSIR Cold Storage Investigations,1/01/1926,31/12/1931,
csiro:A000312,CSIR Division of Aeronautics,10/05/1940,10/02/1949,
csiro:A000735,CSIR Division of Animal Health,15/01/1930,30/06/1936,
csiro:A000734,CSIR Division of Animal Health and Nutrition,1/07/1936,17/08/1944,
csiro:A000736,CSIR Division of Animal Nutrition,1/12/1927,31/12/1936,
csiro:A000669,CSIR Division of Economic Botany,1/01/1927,31/12/1929,
csiro:A000648,CSIR Electrotechnology Section,1/01/1939,31/12/1945,
csiro:A000584,CSIR Food Preservation and Transport Section,1/08/1931,31/12/1940,
csiro:A000684,CSIR Metrology Section,1/01/1939,31/12/1945,
csiro:A000674,CSIR Murray River Soil Investigation Unit,1/01/1927,31/12/1929,
csiro:A000647,CSIR National Standards Laboratory,1/01/1939,31/12/1973,
csiro:A000683,CSIR Physics Section,1/01/1939,31/12/1945,
csiro:A002245,CSIR Radiophysics Laboratory,1/01/1939,31/05/1940,
csiro:A000791,CSIR Soil Physics Section,1/01/1933,31/12/1943,
